nome,genero,data_nascimento,presenca_plenario,ausencia_justificada_plenario,ausencia_nao_justificada_plenario,presenca_comissoes,ausencia_justificada_comissoes,ausencia_nao_justificada_comissoes,salario_bruto_par,get_gasto_total_par,get_gasto_janeiro_par,get_gasto_fevereiro_par,get_gasto_marco_par,get_gasto_abril_par,get_gasto_maio_par,get_gasto_junho_par,get_gasto_julho_par,get_gasto_agosto_par,get_gasto_setembro_par,get_gasto_outubro_par,get_gasto_novembro_par,get_gasto_dezembro_par,quant_viagens
Pedro Vilela,M,01/05/1985,85,5,2,43,5,21,33763.00,403054.99,31328.35,40549.36,55871.88,58384.84,42801.44,30516.96,34120.10,39606.51,35100.26,33402.57,1372.72,NaN,0
Pinheirinho,M,30/05/1991,91,1,0,20,4,1,33763.00,295320.63,34997.43,48213.22,38778.05,35564.82,34383.72,26281.37,23988.24,21895.37,8254.43,22120.56,843.42,NaN,0
Pedro Westphalen,M,19/12/1950,91,0,1,75,2,1,33763.00,381668.47,36518.28,54324.72,62114.31,50504.82,44251.67,34167.19,35224.30,25574.63,8729.07,24373.16,5886.32,NaN,0
Pompeo de Mattos,M,12/07/1958,89,2,1,65,11,43,33763.00,358380.95,41231.74,59462.92,49369.15,33109.82,73003.33,28978.11,25956.45,17821.83,16082.73,12802.87,562.00,NaN,0
Professor Alcides,M,25/10/1953,85,0,7,37,0,24,33763.00,341806.61,33108.61,33113.89,48105.19,48107.00,48112.75,33107.36,36344.43,15569.34,12097.38,31074.94,3065.72,NaN,0
Professor Israel Batista,M,02/05/1982,89,3,0,55,0,14,33763.00,268808.04,24294.73,25264.69,33230.03,31069.74,44260.36,16543.25,15516.55,11331.89,12985.33,54311.47,0.00,NaN,0
Rafael Motta,M,15/08/1986,80,5,7,27,4,21,33763.00,258446.05,22061.25,20987.07,32044.73,47323.12,38481.01,19788.15,28425.17,12569.51,12955.13,20480.35,3330.56,NaN,0
Raimundo Costa,M,09/03/1961,77,10,5,25,8,13,33763.00,385733.94,31247.01,33852.56,35730.14,54251.36,59847.83,39948.97,38881.38,37224.96,30425.51,23741.54,582.68,NaN,0
Reginaldo Lopes,M,02/04/1973,77,15,0,4,5,55,33763.00,284845.43,22866.69,27219.10,59587.46,50048.57,49989.97,35479.55,19697.60,15557.40,2969.06,1377.71,52.32,NaN,0
Professor Joziel,M,22/04/1966,88,0,4,35,0,42,33763.00,337587.74,26284.98,21925.42,46651.94,55224.11,45817.36,25815.11,24873.87,32404.12,21329.86,35691.44,1569.53,NaN,0
Raul Henry,M,06/06/1964,86,6,0,36,6,21,33763.00,294011.61,38165.25,29302.36,32016.22,39228.39,44657.47,34719.45,33058.24,17205.35,5575.16,15158.34,4925.38,NaN,0
Renildo Calheiros,M,20/04/1959,74,18,0,5,14,50,33763.00,283393.10,25389.44,33981.63,32409.64,32538.33,33726.63,37650.53,30620.56,25957.77,19988.78,9601.72,1528.07,NaN,0
Ricardo da Karol,M,27/10/1959,82,8,2,16,3,8,33763.00,248605.56,34114.07,35083.65,35897.10,47538.24,47361.51,22483.72,14839.35,3821.91,2615.91,4320.06,530.04,NaN,0
Ricardo Guidi,M,28/09/1977,92,0,0,27,2,11,33763.00,212087.75,20891.82,27553.59,25787.02,36603.04,34612.26,34669.08,20256.07,1117.85,489.75,9491.30,615.97,NaN,0
Ricardo Izar,M,01/08/1968,82,2,8,10,1,9,33763.00,318098.30,21993.12,26040.58,36284.07,34496.42,82039.32,25193.31,14757.52,10691.35,11857.99,54744.62,0.00,NaN,0
Padre João,M,28/02/1967,89,0,3,104,0,16,33763.00,339556.48,18732.03,37477.94,36322.55,44831.86,54192.78,54866.82,25266.73,20811.94,30550.84,16502.99,0.00,NaN,0
Ricardo Barros,M,15/11/1959,85,7,0,27,4,12,33763.00,289209.52,31383.94,29984.02,33975.37,38325.55,31338.43,31141.41,40542.02,28929.56,8765.20,14824.02,0.00,NaN,1
Pr. Marco Feliciano,M,12/10/1972,85,7,0,38,6,6,33763.00,250282.69,16409.30,15313.17,26204.50,22449.14,40447.31,43250.46,33839.75,21664.84,14490.61,16213.61,0.00,NaN,1
Pastor Gil,M,08/11/1971,74,4,14,12,3,18,33763.00,316273.65,21687.15,23939.17,27502.58,30200.89,41443.63,96284.55,18286.41,23625.66,20193.95,13109.66,0.00,NaN,0
Pastor Eurico,M,12/09/1962,86,3,3,36,2,2,33763.00,344292.98,14408.85,34580.27,34975.76,61812.66,34367.09,44384.17,39009.40,33133.99,26233.24,21210.64,176.91,NaN,0
Pastor Sargento Isidório,M,28/07/1962,89,3,0,28,4,21,33763.00,122162.55,18985.98,7305.20,24819.70,17539.09,17263.62,14958.11,9351.19,6767.24,5107.26,0.00,65.16,NaN,0
Paulo Abi-Ackel,M,21/06/1963,77,0,15,5,0,52,33763.00,264502.84,50879.76,37955.13,38334.70,37784.96,34690.33,17048.14,19193.24,11703.00,7031.98,9800.90,80.70,NaN,0
Paulinho da Força,M,24/02/1956,46,46,0,2,13,11,33763.00,308553.28,29383.01,37602.30,44450.75,46446.53,47674.81,19088.84,19977.90,19527.49,16302.91,27225.40,873.34,NaN,0
Paulão,M,15/09/1957,73,19,0,6,8,5,33763.00,222771.27,17870.27,16725.90,32875.97,39024.79,33319.95,22766.87,23531.76,13785.48,14270.34,8103.75,496.19,NaN,0
Paulo Bengtson,M,06/01/1974,74,18,0,36,13,32,33763.00,368252.83,24899.76,55324.78,58443.02,35093.13,30445.65,25398.99,50948.77,12321.28,10877.93,39272.42,25227.10,NaN,0
Patrus Ananias,M,26/01/1952,78,5,9,42,5,5,33763.00,333980.39,24018.54,39827.35,54717.60,54875.05,42393.82,34520.85,28314.93,23534.46,12411.86,17816.65,1549.28,NaN,0
Paulo Azi,M,14/01/1963,84,4,4,40,3,22,33763.00,303819.28,26573.17,22575.78,39470.93,54315.35,45960.76,40677.23,23921.98,20173.45,14938.36,15158.92,53.35,NaN,0
Paulo Eduardo Martins,M,20/04/1981,91,0,1,25,0,0,33763.00,92268.14,3945.73,11259.49,15992.60,19018.57,2707.30,8218.59,11131.25,16570.06,22.25,3129.33,272.97,NaN,0
Paulo Guedes,M,01/10/1970,79,7,6,46,7,23,33763.00,325450.77,50413.88,36385.16,43402.14,47827.78,41593.85,21450.49,21887.90,27132.68,21181.05,14036.67,139.17,NaN,0
Paulo Ganime,M,19/04/1983,91,1,0,42,1,18,33763.00,47205.35,5824.49,6334.72,7106.41,11947.54,5938.04,1814.90,903.97,4.58,3.16,7327.54,0.00,NaN,0
Paulo Freire Costa,M,14/02/1955,74,8,10,21,2,9,33763.00,202039.52,28123.72,40814.59,36407.71,19783.12,41182.90,7628.08,363.70,7406.48,4265.11,16064.11,0.00,NaN,0
Paulo Foletto,M,30/04/1956,60,7,3,27,5,14,33763.00,280631.83,0.00,0.00,0.19,51630.42,39961.07,33587.39,45223.11,39622.49,36912.19,32404.03,1290.94,NaN,0
Paulo Pimenta,M,19/03/1965,84,8,0,2,3,18,33763.00,313815.81,41686.99,42323.66,49222.99,42354.53,32901.03,24113.63,31686.30,12308.50,7348.04,29691.83,178.31,NaN,0
Paulo Ramos,M,18/10/1944,75,13,4,51,23,17,33763.00,308359.53,31306.73,33083.48,45488.92,41894.52,40776.21,31441.15,25189.78,21649.26,20853.85,14891.88,1783.75,NaN,0
Paulo Teixeira,M,09/05/1961,84,0,8,73,0,37,33763.00,321190.07,40466.04,38234.76,37583.20,39346.86,42509.71,25284.11,20834.46,19352.10,7832.41,48080.49,1665.93,NaN,1
Pedro Augusto Bezerra,M,11/10/1980,69,22,1,9,8,10,33763.00,328763.67,19734.06,28439.45,40556.30,67828.90,47398.69,35714.39,30671.96,28461.24,16759.00,10109.67,3090.01,NaN,0
Ricardo Silva,M,01/09/1985,89,0,3,51,0,14,33763.00,309195.05,46869.46,45084.75,39767.27,27339.96,44758.85,31421.18,25575.18,20837.80,14187.11,11911.55,1441.94,NaN,0
Robério Monteiro,M,15/02/1970,81,6,5,37,4,18,33763.00,299173.03,47590.17,43538.26,54646.16,42748.76,30958.46,28787.21,13260.89,3509.26,5301.74,28832.12,0.00,NaN,0
Ricardo Teobaldo,M,18/10/1965,67,9,16,6,4,15,33763.00,352070.43,75838.70,29031.88,30495.58,29669.48,37062.21,33057.30,33767.66,29421.01,26958.82,26767.79,0.00,NaN,0
Roberto Alves,M,27/05/1960,71,5,2,33,2,26,33763.00,230098.88,109132.76,107234.64,33796.04,30363.13,35983.32,37144.68,34164.65,28065.77,19938.52,10559.32,83.45,NaN,0
Rodrigo Agostinho,M,12/12/1977,87,5,0,89,5,5,33763.00,243424.52,37494.76,31595.53,46417.62,42559.37,55888.64,7585.90,10901.08,10003.24,1.97,976.41,0.00,NaN,1
Roberto de Lucena,M,18/04/1966,90,1,1,57,5,32,33763.00,344710.55,27341.46,32606.18,46347.40,61804.31,44824.77,33506.21,25809.69,16752.34,15560.73,37298.76,2858.70,NaN,1
Rodrigo Maia,M,12/06/1970,6,4,0,0,0,0,33763.00,8507.74,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8157.72,350.02,NaN,0
Rodrigo Coelho,M,29/06/1980,92,0,0,81,5,4,33763.00,119207.06,12678.98,21407.72,28457.50,13620.70,25418.03,7973.08,3227.19,8.21,1.82,6413.83,0.00,NaN,1
Rodrigo de Castro,M,15/07/1971,85,4,3,19,4,24,33763.00,310220.15,29116.39,40257.88,39793.79,42822.40,46598.49,40201.06,31887.58,7204.14,7391.07,23409.79,1537.56,NaN,0
Rogério Peninha Mendonça,M,27/01/1953,84,5,3,46,2,3,33763.00,284933.89,19071.55,19591.03,41184.63,23209.03,30598.89,32032.33,30699.45,29926.43,38113.63,18450.40,2056.52,NaN,0
Rogério Correia,M,11/01/1958,88,0,4,56,0,12,33763.00,311043.04,24911.46,32959.38,38622.31,33558.57,39922.11,30506.71,29548.85,32578.63,29736.38,17461.10,1237.54,NaN,0
Ronaldo Carletto,M,05/01/1960,88,4,0,5,3,16,33763.00,276954.35,39853.86,37423.24,50559.78,35321.41,45779.44,16673.29,17006.88,22617.74,7609.31,2915.68,1193.72,NaN,0
Ronaldo Martins,M,21/01/1978,11,0,4,0,0,0,33763.00,124053.44,0.00,0.00,0.00,0.00,0.00,0.00,0.00,33317.39,30426.34,21309.71,39000.00,NaN,0
Rossoni,M,23/11/1952,42,6,13,0,0,1,33763.00,175496.02,38434.25,41023.76,24376.55,39059.07,29171.19,2729.46,111593.80,111416.90,111416.90,701.74,0.00,NaN,0
Rubens Pereira Júnior,M,18/03/1984,92,0,0,35,0,16,33763.00,379416.30,33232.76,43788.65,49953.73,46779.13,45113.71,44355.44,12257.09,27387.79,27391.12,28973.90,20182.98,NaN,0
Rui Falcão,M,26/11/1943,87,0,5,46,0,9,33763.00,311086.65,34561.93,52337.32,42161.06,44047.45,41707.80,30798.56,25457.29,16247.47,11762.34,11692.70,312.73,NaN,0
Sanderson,M,01/12/1969,89,1,2,61,0,17,33763.00,388991.27,37912.59,41503.33,58317.25,35943.44,48706.99,42505.85,39027.03,29437.05,28130.75,26343.91,1163.08,NaN,0
Wilson Santiago,M,10/06/1957,83,4,5,4,1,31,33763.00,333798.56,30349.27,31771.02,37471.51,42306.88,41459.58,17270.03,59218.14,39103.16,6056.23,28195.55,597.19,NaN,0
Wolney Queiroz,M,12/12/1972,82,10,0,2,5,33,33763.00,283872.71,15044.01,25762.61,38421.71,30994.45,66224.67,21880.28,15898.60,18340.68,27414.61,23755.87,135.22,NaN,0
Zé Neto,M,30/03/1964,83,6,3,54,0,7,33763.00,337471.88,50626.31,24451.08,44445.51,53822.92,32644.89,40002.57,24693.20,26270.76,8182.14,32332.50,0.00,NaN,0
Zé Vitor,M,01/11/1984,73,16,3,26,12,15,33763.00,233230.82,26074.83,41836.76,32088.44,31715.89,26392.47,27638.60,9780.96,4941.65,5612.06,27149.16,0.00,NaN,2
Zeca Dirceu,M,21/06/1978,75,10,7,9,4,22,33763.00,356842.77,38999.73,33224.73,52793.19,47568.26,57184.71,29897.60,36352.08,15418.42,9981.12,34877.93,545.00,NaN,0
Sandro Alex,M,25/11/1972,65,0,3,35,0,13,33763.00,180454.37,0.00,0.00,0.00,31017.32,47899.43,24298.17,37183.26,10998.80,4916.86,23515.41,625.12,NaN,0
Samuel Moreira,M,09/02/1963,88,4,0,45,3,2,33763.00,287354.50,18924.07,25557.73,40933.34,50610.63,38706.58,35099.02,21805.45,22925.53,9773.25,22973.66,45.24,NaN,0
Rubens Bueno,M,23/05/1948,91,0,1,65,0,6,33763.00,272063.57,8067.94,32116.20,31184.36,37095.34,57749.32,33151.06,34635.51,8556.44,14706.88,7256.76,7543.76,NaN,0
Ruy Carneiro,M,17/08/1970,79,12,1,17,9,8,33763.00,302640.34,20866.77,42973.86,57877.87,42187.85,35887.63,21876.48,14050.68,4363.86,559.91,61674.63,320.80,NaN,2
Rubens Otoni,M,06/02/1956,75,5,12,11,2,19,33763.00,307709.08,32770.27,38194.47,41561.05,46402.99,41744.76,29613.60,32364.01,12903.41,6861.72,25089.30,203.50,NaN,0
Zé Carlos,M,26/05/1955,77,15,0,1,0,0,33763.00,382926.48,34876.44,34076.57,52451.67,56019.27,49235.77,38194.51,39063.35,26889.26,23042.46,27389.17,1688.01,NaN,1
Zé Silva,M,11/05/1963,81,4,7,46,6,42,33763.00,272952.50,13589.72,23281.74,58030.74,45654.35,51011.56,24752.96,20633.31,16662.24,7130.92,12197.76,7.20,NaN,1
Sargento Fahur,M,06/11/1963,92,0,0,27,0,2,33763.00,235826.05,26338.65,13404.82,31325.22,52086.32,24388.06,22309.23,29172.80,14543.32,12015.50,7852.59,2389.54,NaN,0
Sebastião Oliveira,M,31/08/1968,61,31,0,2,10,9,33763.00,378360.98,32611.71,61997.85,45761.75,50783.90,40852.42,33153.10,37014.05,32841.73,22279.93,20304.61,759.93,NaN,0
Sérgio Brito,M,08/06/1961,69,10,13,6,4,20,33763.00,350373.14,45663.60,42654.52,52570.85,42077.69,38621.82,34830.22,44740.63,15255.91,11831.58,20879.61,1246.71,NaN,0
Sergio Toledo,M,29/01/1962,47,44,1,1,20,1,33763.00,288222.22,30247.71,39363.12,39439.74,40960.33,29762.44,19142.21,17310.55,25965.33,22299.28,23731.51,0.00,NaN,0
Severino Pessoa,M,06/02/1970,79,6,7,13,2,16,33763.00,349305.31,56448.73,40975.67,38983.26,51480.91,46528.02,20039.00,12962.54,10449.32,2.30,71435.56,0.00,NaN,0
Silas Câmara,M,15/12/1962,68,18,6,14,20,15,33763.00,372291.46,53511.75,30068.31,89746.79,49917.31,26361.91,26004.72,3334.78,49845.67,36031.91,7468.31,0.00,NaN,0
Sergio Souza,M,13/03/1971,84,4,4,20,0,0,33763.00,358410.70,44666.86,38116.97,56387.62,38979.42,54101.56,36334.73,28323.07,27848.37,7279.42,25087.44,1285.24,NaN,2
Sidney Leite,M,08/04/1967,84,0,8,59,0,7,33763.00,275944.45,8648.68,35886.24,88152.88,30161.65,54238.48,27619.45,17293.50,2933.41,2.45,10801.00,206.71,NaN,0
Silvio Costa Filho,M,05/03/1982,80,6,6,31,2,6,33763.00,395483.24,30879.38,35595.55,50370.63,44280.75,48544.47,36480.91,35984.13,48988.28,27163.19,37195.95,0.00,NaN,0
Sóstenes Cavalcante,M,16/01/1975,90,1,1,22,3,50,33763.00,306111.03,34347.99,36686.76,37385.24,34187.85,42574.72,33422.21,27180.57,16640.69,10097.79,32778.32,808.89,NaN,0
Stefano Aguiar,M,03/03/1976,75,10,7,7,7,9,33763.00,290738.03,32277.66,34395.67,41449.67,37761.02,36140.38,32186.87,29189.44,19927.58,17465.41,9443.71,500.62,NaN,1
Tiago Mitraud,M,15/08/1986,92,0,0,107,0,7,33763.00,27647.47,3566.57,3135.34,2309.40,2560.68,8067.83,4398.55,2855.86,216.89,191.77,344.58,0.00,NaN,0
Tadeu Alencar,M,08/04/1963,82,9,1,43,15,39,33763.00,382090.82,33136.04,35605.24,47956.40,52313.50,53943.06,36506.38,38165.37,29185.97,35584.92,18975.43,718.51,NaN,0
Tiririca,M,01/05/1965,69,21,2,4,8,8,33763.00,193770.82,10744.18,20999.68,20819.91,22736.94,28371.73,25748.36,27555.21,15056.32,13606.42,8132.07,0.00,NaN,0
Tito,M,17/11/1976,92,0,0,27,0,7,33763.00,281519.71,30501.30,31777.19,30293.06,31159.96,81946.39,12029.60,20240.56,18796.03,10779.49,12938.08,1058.05,NaN,0
Subtenente Gonzaga,M,31/05/1962,86,3,3,95,2,15,33763.00,325228.33,22268.14,23651.34,39632.53,43427.86,54538.56,30205.10,35399.21,27745.12,24901.42,22874.33,584.72,NaN,0
Tiago Dimas,M,04/08/1988,89,0,3,9,0,1,33763.00,340652.78,25207.06,42885.58,64235.29,54312.34,20107.35,27029.27,25908.66,11604.28,48026.14,14528.62,6808.19,NaN,0
Túlio Gadêlha,M,12/11/1987,84,8,0,53,16,61,33763.00,384141.87,22201.56,33060.63,55862.54,51086.03,59826.44,34741.72,31903.99,31005.22,24904.26,33878.06,5671.42,NaN,0
Toninho Wandscheer,M,31/08/1950,81,4,7,3,0,2,33763.00,306818.62,41777.79,39307.55,48754.02,48076.79,33128.88,24222.67,17864.61,13310.97,5376.98,34422.79,575.57,NaN,0
Uldurico Junior,M,30/01/1992,77,10,5,5,6,12,33763.00,401869.80,5676.51,39129.50,29853.85,79759.43,19410.55,25244.16,35620.95,73478.81,37352.03,10205.83,46138.18,NaN,0
Vaidon Oliveira,M,02/04/1975,54,4,3,3,2,8,33763.00,237525.33,23778.48,42615.45,43405.02,40762.03,60084.33,222.00,111562.77,111562.77,111562.77,26030.00,628.02,NaN,0
Valmir Assunção,M,17/12/1964,83,7,2,13,2,9,33763.00,363239.05,44395.14,46537.39,44131.60,48258.75,36050.94,38814.68,34071.61,34806.12,17856.95,18203.94,111.93,NaN,0
Vander Loubet,M,22/01/1964,87,3,2,13,1,9,33763.00,319847.50,49425.10,33721.13,37451.17,39976.96,41545.38,38451.69,27215.78,9051.50,4483.21,37732.84,792.74,NaN,0
Vanderlei Macris,M,20/05/1950,83,4,5,24,5,10,33763.00,387872.53,58359.31,41010.69,35983.56,33429.65,34362.74,43973.37,39405.44,37712.64,27149.77,36103.24,382.12,NaN,0
Vavá Martins,M,03/06/1982,82,2,8,16,6,10,33763.00,300552.93,13175.53,18160.99,88174.09,31772.02,23536.01,37453.18,15004.74,9936.45,3587.11,59602.81,150.00,NaN,0
Vermelho,M,01/03/1959,85,3,4,16,0,3,33763.00,367848.95,40396.46,36014.91,46849.79,40603.35,52721.83,37782.35,27881.30,18738.35,27472.39,37393.54,1994.68,NaN,0
Vicentinho,M,08/04/1956,83,7,2,19,2,14,33763.00,302994.99,13501.99,33730.27,71585.86,35951.02,45465.67,34562.44,36569.02,17307.06,5656.42,8665.24,0.00,NaN,0
Vicentinho Júnior,M,11/04/1985,69,0,23,15,0,23,33763.00,407540.10,37276.44,39572.89,42368.97,39808.60,30327.75,41871.00,42317.27,33618.36,50378.82,50000.00,0.00,NaN,0
Vilson da Fetaemg,M,01/05/1957,88,3,1,59,2,3,33763.00,263699.02,13864.38,12202.47,12981.84,35640.68,38383.43,48646.12,35184.80,19061.99,16192.22,11829.03,19712.06,NaN,0
Vinicius Poit,M,31/01/1986,86,5,1,25,4,4,33763.00,189090.62,18431.82,19119.82,20091.36,22529.20,18953.40,13634.91,18453.31,20492.33,19267.75,18116.72,0.00,NaN,0
Vitor Lippi,M,18/05/1959,89,0,3,31,0,12,33763.00,321525.33,24887.33,32569.74,38925.48,49406.16,47864.03,26402.16,27593.94,26251.12,26683.06,20744.31,198.00,NaN,0
Vinicius Farah,M,21/06/1965,47,3,18,12,5,29,33763.00,204118.87,0.00,0.00,0.00,8158.18,63507.53,16857.35,26990.19,4635.32,3.53,83285.68,681.09,NaN,0
Walter Alves,M,27/02/1980,77,8,7,9,4,8,33763.00,317763.78,16275.45,52068.25,43693.12,58063.77,58625.31,36037.87,19606.30,21869.88,3500.01,7812.68,211.14,NaN,0
Vinicius Carvalho,M,07/01/1966,79,13,0,9,5,10,33763.00,340728.76,41672.56,39581.43,57042.94,42691.74,36753.20,39290.07,35365.86,18744.31,15224.99,13958.27,403.39,NaN,1
Weliton Prado,M,24/08/1975,90,2,0,96,8,23,33763.00,218144.01,45629.83,47215.79,40736.30,43865.45,23458.59,9586.59,1947.66,5313.92,389.88,0.00,0.00,NaN,0
Waldenor Pereira,M,08/03/1954,84,8,0,32,2,18,33763.00,275571.31,28566.62,43501.52,49667.48,41518.06,42594.78,26126.51,17743.64,6816.73,7094.89,11213.89,727.19,NaN,0
Wellington Roberto,M,19/05/1959,64,27,1,0,10,16,33763.00,363026.31,25689.37,50571.50,45460.46,46200.51,47674.96,32937.83,37926.77,12640.71,33901.72,30022.48,0.00,NaN,0
Alê Silva,F,04/07/1974,82,6,4,54,10,10,33763.00,262368.78,21847.22,26068.76,60514.25,38257.92,39369.73,21249.25,15093.79,19228.94,15225.62,5513.30,0.00,NaN,0
Aline Gurgel,F,25/11/1980,78,11,3,16,7,27,33763.00,425828.00,42916.79,55902.66,41953.93,40253.23,74755.05,10460.16,40552.36,44238.07,50064.19,24731.56,0.00,NaN,0
Angela Amin,F,20/12/1953,88,4,0,61,1,0,33763.00,335603.46,32420.59,44149.40,54673.99,50177.80,45917.82,36925.47,34965.84,19369.26,7069.38,9738.31,195.60,NaN,1
Alice Portugal,F,16/05/1959,91,0,1,70,0,28,33763.00,380746.29,64843.86,35974.10,45630.28,30967.04,44643.22,33926.95,26133.78,37427.88,27482.05,33668.90,48.23,NaN,0
Aline Sleutjes,F,26/07/1979,81,11,0,25,7,5,33763.00,271444.38,18718.10,42340.70,49189.30,28504.61,62024.69,25909.67,20829.47,10742.51,4466.72,8102.19,616.42,NaN,0
Áurea Carolina,F,20/11/1983,75,17,0,22,5,5,33763.00,302788.06,15477.79,17211.99,36192.89,50919.99,47628.80,36660.42,25545.07,22852.05,27143.68,23155.38,0.00,NaN,0
Bia Kicis,F,19/09/1961,89,3,0,56,3,4,33763.00,217096.60,25190.49,25724.28,26105.29,27799.70,29874.33,15473.15,16116.39,14243.78,13146.49,22163.74,1258.96,NaN,1
Benedita da Silva,F,26/04/1942,45,47,0,22,18,15,33763.00,278916.75,27548.63,36708.62,32332.80,38159.47,42904.22,28769.87,17965.43,15365.95,9555.15,28558.54,1048.07,NaN,0
Carla Dickson,F,02/07/1976,91,0,1,62,0,5,33763.00,321096.04,24586.19,44761.07,52267.87,31382.92,38231.83,32701.13,15878.04,19847.11,20700.30,40204.82,534.76,NaN,0
Carla Zambelli,F,03/07/1980,79,12,1,10,5,12,33763.00,277181.24,35310.53,32694.44,29735.19,21729.23,51011.16,22816.95,21987.75,14571.57,14918.40,31400.35,1005.67,NaN,1
Bruna Furlan,F,28/04/1983,39,0,4,0,0,0,33763.00,77114.78,12812.15,15234.17,17325.26,17939.40,89553.78,105191.41,111416.96,283.61,5769.80,6302.20,1448.19,NaN,0
Caroline de Toni,F,01/09/1986,91,0,1,45,1,11,33763.00,108667.23,1577.63,10066.51,14101.09,11285.98,24174.38,15473.46,14468.42,7103.83,3096.89,5223.46,2095.58,NaN,0
Chris Tonietto,F,14/05/1991,88,2,2,59,4,6,33763.00,133178.31,11369.60,10173.11,9970.30,13872.46,12050.51,19466.91,25628.43,11169.95,3255.31,15855.62,366.11,NaN,0
Celina Leão,F,02/03/1977,71,2,19,18,1,23,33763.00,101582.40,1190.04,11101.64,13853.72,18215.77,17835.36,15949.33,14392.13,6642.14,2402.27,0.00,0.00,NaN,1
Christiane de Souza Yared,F,23/02/1960,83,9,0,27,6,5,33763.00,330395.35,23957.30,44324.43,35762.57,54189.41,41149.82,32246.76,23122.06,18987.00,15446.67,40295.66,913.67,NaN,0
Clarissa Garotinho,F,02/07/1982,86,0,6,37,0,14,33763.00,297350.01,7971.69,16907.30,54747.61,49861.80,57969.92,53352.84,20869.99,15804.77,9631.78,10118.65,113.66,NaN,0
Dulce Miranda,F,15/12/1963,84,8,0,78,11,8,33763.00,385152.20,17405.28,54422.42,66007.20,43629.27,48597.93,16964.63,42936.18,44081.35,12900.31,38029.26,178.37,NaN,0
Daniela do Waguinho,F,10/02/1976,80,10,2,42,9,9,33763.00,309318.38,35968.58,36604.61,48540.64,61049.56,50236.04,27308.97,20808.56,13155.35,11253.04,4366.75,26.28,NaN,0
Dra. Soraya Manato,F,10/03/1961,92,0,0,111,0,64,33763.00,289649.17,31353.75,37397.79,57239.48,36607.77,43635.09,15176.75,23098.74,18128.98,8706.64,18304.18,0.00,NaN,0
Dra. Vanda Milani,F,17/09/1953,72,13,7,31,11,22,33763.00,395931.24,45066.55,49027.62,29462.19,36127.46,71009.98,22618.07,41106.51,44816.37,25900.00,30796.49,0.00,NaN,0
Edna Henrique,F,04/09/1958,52,9,1,13,7,6,33763.00,245404.75,110222.29,107865.76,109797.12,21722.42,41564.86,44584.53,40428.22,32338.39,34109.42,30426.91,230.00,NaN,0
Renata Abreu,F,15/04/1982,48,14,0,5,10,18,33763.00,208238.76,31109.86,32113.25,42089.94,31671.65,42896.72,3728.86,106018.07,110109.96,110476.84,22911.39,1717.09,NaN,0
Rosangela Gomes,F,27/12/1966,77,15,0,2,0,0,33763.00,332169.14,35619.36,53038.08,41099.12,30910.68,40356.20,24832.33,27594.88,28932.93,13329.32,36267.03,189.21,NaN,2
Rosana Valle,F,08/05/1969,87,3,2,44,2,2,33763.00,338573.46,21183.33,29131.46,53484.17,52840.25,41134.85,34551.95,41195.46,30834.90,20867.06,13125.31,224.72,NaN,0
Shéridan,F,11/04/1984,53,35,4,0,0,3,33763.00,406013.67,47717.67,50310.81,47454.50,20489.75,41030.40,35713.64,41489.54,36464.07,37465.47,41866.90,6010.92,NaN,0
Sâmia Bomfim,F,22/08/1989,78,14,0,32,0,3,33763.00,320776.66,29863.31,33173.07,52100.08,33373.57,49527.82,25800.86,31637.36,25034.27,10727.26,25539.06,4000.00,NaN,0
Soraya Santos,F,04/12/1958,90,2,0,29,0,16,33763.00,247739.60,30377.64,25882.69,44839.17,32605.66,18501.89,34461.17,25720.88,19262.46,5904.46,9654.69,528.89,NaN,0
Tabata Amaral,F,14/11/1993,88,1,3,137,0,9,33763.00,290505.98,38950.69,27888.06,35331.21,32068.77,49942.23,49334.59,25146.00,5016.41,3300.08,22041.92,1486.02,NaN,1
Silvia Cristina,F,15/01/1974,89,2,1,55,5,31,33763.00,326142.16,38497.24,41381.49,41593.07,52095.78,77841.57,30489.93,21356.30,8189.34,4412.39,7253.38,3031.67,NaN,0
Talíria Petrone,F,09/04/1985,76,14,2,27,19,32,33763.00,273733.18,35801.22,32189.96,31865.89,45403.28,29413.08,37323.98,24098.94,23355.39,10439.80,3279.24,562.40,NaN,0
Tereza Cristina,F,06/07/1954,63,2,4,59,1,6,33763.00,153213.89,0.00,0.00,0.04,21629.55,17413.02,24574.99,29064.98,17058.41,14118.74,24831.46,4522.70,NaN,0
Luiza Erundina,F,30/11/1934,78,14,0,37,9,14,33763.00,222485.05,17316.28,17369.22,13312.38,23549.05,49196.58,41316.33,41450.36,18601.72,126.15,0.00,246.98,NaN,0
Luizianne Lins,F,18/11/1968,82,7,3,5,6,10,33763.00,394965.38,43009.21,49188.28,62832.39,40398.85,50556.05,27655.84,25583.94,56182.22,8648.41,30543.49,366.70,NaN,0
Major Fabiana,F,09/01/1980,76,11,5,22,4,0,33763.00,253074.32,19669.14,45316.31,58832.43,30152.26,32781.41,27385.49,25479.97,6199.02,5005.38,1966.38,286.53,NaN,0
Magda Mofatto,F,26/10/1948,77,3,12,28,6,36,33763.00,248362.06,41429.43,31068.63,47136.54,47632.39,46414.73,19428.88,6001.17,8505.69,395.33,349.27,0.00,NaN,0
