nome,genero,data_nascimento,presenca_plenario,ausencia_justificada_plenario,ausencia_nao_justificada_plenario,presenca_comissoes,ausencia_justificada_comissoes,ausencia_nao_justificada_comissoes,salario_bruto_par,get_gasto_total_par,get_gasto_janeiro_par,get_gasto_fevereiro_par,get_gasto_marco_par,get_gasto_abril_par,get_gasto_maio_par,get_gasto_junho_par,get_gasto_julho_par,get_gasto_agosto_par,get_gasto_setembro_par,get_gasto_outubro_par,get_gasto_novembro_par,get_gasto_dezembro_par,quant_viagens
Enrico Misasi,M,06/08/1994,87,0,5,43,0,21,33763.00,323053.98,24947.21,28095.55,42425.59,43740.70,54222.55,37817.19,41206.87,22642.88,16871.36,11025.61,58.47,NaN,0
Emanuel Pinheiro Neto,M,05/01/1995,70,3,19,11,1,7,33763.00,260989.20,18918.90,40897.04,43529.50,29158.03,34158.66,52895.35,15688.43,14630.60,825.90,6028.96,4257.83,NaN,0
Emidinho Madeira,M,10/03/1967,80,12,0,16,4,2,33763.00,300056.22,56761.57,45061.77,39330.09,32196.96,44434.07,26760.94,20847.93,15245.77,11938.26,7418.86,60.00,NaN,0
Euclydes Pettersen,M,15/08/1984,77,14,1,6,6,13,33763.00,239749.55,39458.55,34224.98,28593.33,36303.64,35945.83,21880.35,11556.55,10510.19,6865.31,11508.98,2901.84,NaN,1
Eros Biondini,M,20/05/1971,88,4,0,33,1,14,33763.00,281611.85,22401.97,30438.97,33405.69,31526.03,36712.77,29487.20,35290.07,20709.20,17992.30,21750.88,1896.77,NaN,0
Expedito Netto,M,05/10/1988,82,9,1,2,3,16,33763.00,222912.39,14767.54,30093.83,33348.33,30510.09,25416.15,18925.02,27570.19,12641.28,1388.85,26729.31,1521.80,NaN,0
Fábio Henrique,M,19/06/1972,90,0,2,75,0,22,33763.00,393613.32,40955.79,38278.23,46688.34,53420.14,51837.95,35534.63,55589.55,49846.87,10956.64,10467.67,37.51,NaN,0
Evair Vieira de Melo,M,02/04/1972,87,3,2,67,1,4,33763.00,316638.70,38264.38,46197.13,62458.72,38441.09,43315.06,24394.91,23069.95,14844.44,2615.55,22921.21,116.26,NaN,0
Fábio Mitidieri,M,24/02/1977,54,10,8,17,8,19,33763.00,227041.28,35258.61,43620.72,33042.39,44648.72,45112.33,24812.68,545.83,111538.26,111538.26,111538.26,0.00,NaN,0
Fabio Schiochet,M,31/05/1988,85,3,4,20,2,5,33763.00,376844.53,37195.31,41648.60,42043.11,46815.31,43700.43,50091.13,31304.74,25939.12,21593.26,32923.73,3589.79,NaN,0
Fábio Ramalho,M,22/12/1961,88,0,4,19,0,17,33763.00,289106.94,37959.25,46993.70,34431.36,27698.63,36101.94,23280.97,25058.29,19706.66,17071.96,19557.03,1247.15,NaN,0
Fabio Reis,M,15/04/1977,80,4,8,35,0,1,33763.00,312655.57,39865.80,33581.68,32144.11,43493.01,38648.54,34772.71,32086.43,21185.40,13796.32,22090.53,991.04,NaN,0
Fábio Trad,M,18/08/1969,90,1,1,88,0,3,33763.00,152333.76,9479.45,21339.35,11214.78,41034.10,25209.13,12053.32,5465.70,14089.48,2400.90,10011.50,36.05,NaN,0
Felício Laterça,M,26/05/1967,84,7,1,103,6,6,33763.00,350247.62,33761.68,41861.86,62060.32,40359.41,38642.49,19555.55,31845.60,22935.73,20966.82,36513.88,1744.28,NaN,0
Felipe Carreras,M,16/04/1975,77,6,9,70,9,33,33763.00,184012.22,14274.35,25074.36,24477.74,14515.87,21740.82,16037.40,21745.42,29974.45,4715.52,11456.29,0.00,NaN,0
Fausto Pinato,M,01/06/1977,77,12,3,43,11,11,33763.00,338123.53,23272.69,28054.73,37320.63,39811.88,63069.18,29443.84,35430.36,32548.24,26577.30,22521.07,73.61,NaN,0
Felipe Rigoni,M,13/06/1991,86,6,0,84,7,32,33763.00,314203.45,41526.20,38040.74,37743.41,40781.58,54439.33,34092.96,18297.10,23638.57,9243.23,14963.23,1437.10,NaN,0
Felipe Francischini,M,02/10/1991,86,2,4,26,1,39,33763.00,290395.16,36420.46,40851.46,28714.76,44628.80,52025.43,41969.22,15569.99,12110.34,3776.09,14128.61,200.00,NaN,0
Félix Mendonça Júnior,M,29/11/1963,86,6,0,30,8,16,33763.00,324962.29,30256.20,36235.51,35264.16,42584.56,50388.49,23719.29,43121.12,20178.34,14497.37,26697.48,2019.77,NaN,0
Carlos Veras,M,10/08/1981,89,3,0,42,8,33,33763.00,346470.48,23450.32,50658.26,61233.10,37074.81,65132.56,29707.30,34668.74,24844.59,5992.91,12474.14,1233.75,NaN,1
Carlos Zarattini,M,08/06/1959,86,2,4,20,1,19,33763.00,297688.94,27151.54,32367.11,64118.33,25278.01,55777.06,28292.59,25051.27,14054.68,10433.06,13858.47,1306.82,NaN,0
Cássio Andrade,M,12/09/1981,70,22,0,36,15,25,33763.00,307608.33,21728.53,32899.83,26323.38,50683.51,58046.30,36031.58,14449.73,9264.77,3863.84,54316.86,0.00,NaN,0
Célio Silveira,M,19/09/1959,88,4,0,31,1,6,33763.00,249268.07,18102.06,29238.30,30935.93,27982.39,31959.23,18044.17,17332.28,17806.01,16854.28,40969.73,43.69,NaN,0
Celso Russomanno,M,20/08/1956,89,2,1,30,5,3,33763.00,173626.19,5918.88,28583.18,23440.72,32244.15,24383.53,25438.32,19954.21,5651.37,1220.62,6791.21,0.00,NaN,1
Celso Maldaner,M,30/08/1953,82,5,5,22,2,1,33763.00,369913.72,24680.20,30121.77,43359.15,32327.41,41007.63,27013.34,28086.87,25892.83,22602.17,51620.99,43201.36,NaN,0
Célio Studart,M,19/06/1987,80,3,9,16,3,16,33763.00,334771.25,42405.28,77088.77,34915.78,50390.81,46271.91,22564.85,25601.39,14660.40,4343.55,16378.51,150.00,NaN,0
Cezinha de Madureira,M,12/12/1973,85,0,7,38,0,39,33763.00,325836.31,37003.29,36167.38,38256.80,50290.01,47505.37,20781.53,34316.10,29210.00,16683.05,14273.67,1349.11,NaN,0
Celso Sabino,M,29/08/1978,77,6,9,28,4,13,33763.00,350349.09,35687.11,41271.47,41719.51,35533.17,53029.49,42929.38,37781.33,16249.92,14266.05,31829.16,52.50,NaN,1
Charlles Evangelista,M,27/12/1984,88,4,0,27,5,4,33763.00,272031.91,22449.08,36430.49,47122.47,36668.39,49948.09,24701.10,21331.84,25587.97,1432.93,6359.55,0.00,NaN,0
Charles Fernandes,M,15/03/1965,90,1,1,35,0,6,33763.00,323383.76,24256.26,47976.68,50658.86,46560.45,48292.35,27745.84,27027.00,19586.71,19284.11,10381.44,1614.06,NaN,0
Chico D'Angelo,M,11/02/1953,83,3,6,31,2,34,33763.00,284234.89,31896.36,27273.29,30877.95,43620.43,41207.47,32636.24,30772.24,20679.40,17903.83,6817.68,550.00,NaN,0
Chiquinho Brazão,M,22/02/1962,84,0,8,50,0,4,33763.00,291545.15,5628.16,25886.77,61019.13,45809.13,49940.05,27195.38,11919.52,9234.91,18890.85,36021.25,0.00,NaN,0
Claudio Cajado,M,01/12/1963,81,10,1,24,2,1,33763.00,319967.50,25338.77,40167.84,53444.52,42649.60,27640.24,33006.34,28893.21,31157.71,9849.66,27619.61,200.00,NaN,2
Christino Aureo,M,26/04/1962,87,5,0,22,7,7,33763.00,364350.26,35707.47,43836.64,42917.16,48167.17,53926.39,32622.07,26143.21,21788.64,18368.80,40258.88,613.83,NaN,0
Cleber Verde,M,10/05/1972,91,1,0,15,0,19,33763.00,300663.96,14582.42,18944.35,47074.36,45118.81,99276.90,13222.16,16834.74,8782.05,4751.79,32076.38,0.00,NaN,0
Coronel Armando,M,23/06/1957,84,4,4,40,0,1,33763.00,243119.72,12148.50,26826.54,33216.85,48925.26,49749.39,25127.17,20027.71,10975.22,4534.03,9709.47,1879.58,NaN,0
Coronel Chrisóstomo,M,23/06/1959,89,0,3,68,0,35,33763.00,368241.44,43569.56,50409.86,41654.50,41798.47,49488.53,35493.95,36213.06,25552.93,16022.94,27543.32,494.32,NaN,0
Coronel Tadeu,M,30/09/1965,88,0,4,61,0,14,33763.00,332916.64,37359.64,45903.08,33260.17,32063.81,48565.66,27237.62,25482.15,17392.78,17775.38,28430.40,19445.95,NaN,0
Covatti Filho,M,25/07/1987,89,0,3,33,1,12,33763.00,354596.62,39901.49,64904.76,45888.49,45547.51,61494.69,34354.07,35673.58,7646.43,612.00,17873.82,699.78,NaN,0
Cristiano Vale,M,10/04/1970,80,12,0,25,5,3,33763.00,339850.13,20452.98,49639.93,30338.48,43108.68,49829.99,38126.87,26721.78,30470.89,32141.42,18563.85,455.26,NaN,0
Da Vitoria,M,02/06/1971,89,0,3,0,0,0,33763.00,344528.51,39721.75,61373.19,36361.78,48373.97,37143.23,27515.03,30632.01,27567.15,23415.71,10098.49,2326.20,NaN,0
Dagoberto Nogueira,M,21/07/1955,80,12,0,4,0,0,33763.00,392765.26,33968.57,43913.03,47315.35,46082.30,39158.72,43879.61,41129.03,39057.91,33635.67,24585.90,39.17,NaN,0
Damião Feliciano,M,28/04/1952,81,10,1,29,7,24,33763.00,299356.24,33696.89,30513.30,45137.92,53251.62,39985.25,21830.00,19723.61,12971.79,10939.09,30722.02,584.75,NaN,0
Glaustin da Fokus,M,22/12/1973,73,11,8,10,4,0,33763.00,242210.77,10991.80,11824.00,26296.76,43887.86,121027.92,6316.73,6012.78,307.54,1.58,15543.80,0.00,NaN,0
Guiga Peixoto,M,13/11/1961,92,0,0,20,0,12,33763.00,258696.75,20164.29,32606.94,20921.67,27096.29,44132.42,31276.49,28081.91,26381.12,12089.61,14392.38,1553.63,NaN,0
Glauber Braga,M,26/06/1982,88,3,1,46,3,16,33763.00,249152.28,17256.11,31524.84,46990.34,41104.72,43161.14,26199.00,21782.77,8772.04,3355.87,9005.45,0.00,NaN,0
Guilherme Mussi,M,14/10/1982,55,15,22,0,2,1,33763.00,167339.76,13411.67,40786.13,29938.94,21082.66,27120.16,3643.94,8274.08,7555.10,5000.20,10287.16,239.72,NaN,0
Gonzaga Patriota,M,26/04/1946,80,6,6,28,7,25,33763.00,380155.21,23321.92,41059.43,47372.68,37071.52,47392.53,33365.05,14810.82,24895.76,15356.60,28298.48,67210.42,NaN,0
Gurgel,M,02/12/1980,91,0,1,45,0,9,33763.00,304315.99,30854.01,50602.99,53138.70,41056.98,41300.20,29009.30,16063.62,23894.73,4534.47,13654.20,206.79,NaN,1
